034668 482000 東鋼凱基0B購06  
033724 482000 國泰金國票0C購01
035619 481000 台玻國票0C購05  
035475 481000 國泰金富邦13購02
034677 481000 玉晶光凱基0B購04
034077 480000 大成鋼元大0B購09
07011P 480000 臺股指凱基0B售08
035523 477000 中石化群益0C購02
031629 477000 長榮統一12購02  
2453 475000 凌群            
2379 472246 瑞昱            
080412 469000 上緯控元大07購03
07079P 467000 裕民凱基0B售01  
07106P 467000 長榮群益0B售11  
078389 465000 聯電富邦07購01  
030033 464000 滬深2X元大0B購02
6477 464000 安集            
034630 461000 臻鼎康和0B購01  
8103 460640 瀚荃            
035533 460000 金像電兆豐0C購02
034612 460000 新唐統一0C購05  
034378 459000 中鋼元大0B購06  
031832 458000 聯發科富邦14購01
033096 458000 聯發科元富12購03
034588 457000 新纖統一0C購02  
034655 456000 國泰金中信0B購01
05508P 455000 智邦國票07售03  
035159 453000 新光鋼國票0C購01
031669 451000 長榮元大12購04  
04748P 451000 亞德客元富0B售02
030722 449000 正隆元大0A購01  
8112 449000 至上            
030401 448000 威盛元大0A購01  
035430 447000 萬海元大0C購09  
07212P 447000 聯發科元富0B售04
033052 445000 聯電永豐0A購06  
07224P 445000 儒鴻國票0B售01  
031260 444000 立積群益0C購03  
089930 442000 瑞昱永豐0A購01  
034769 442000 長榮國票0C購02  
034370 442000 華新元大0B購06  
2402 441000 毅嘉            
034963 441000 榮成元大0B購02  
080338 441000 合勤控凱基09購01
5521 441000 工信            
6269 440965 台郡            
032952 440000 東鋼元大0A購07  
083928 440000 聯電中信09購02  
033042 438000 富邦金兆豐0B購01
033969 438000 東鋼凱基0B購05  
083553 438000 美利達元大07購01
030406 437000 超豐元大0A購01  
077471 437000 聯發科國票08購05
2388 435157 威盛            
034947 435000 中鋼凱基11購02  
083574 435000 崇越群益08購01  
034545 434000 國泰金統一0B購04
4746 433000 台耀            
035705 433000 東鋼元大0B購06  
06732P 432000 亞德客元大09售01
087548 431000 台達電元富09購01
032062 430000 帆宣國票0B購01  
089954 427000 上証2X元大0B購01
3024 427000 憶聲            
04354P 427000 聯發科元富0A售03
00693U 426000 期街口S&P黃豆   
035967 426000 友達元大0C購13  
034372 426000 大亞元大0B購05  
031117 425000 南茂群益0A購01  
035317 425000 超豐元大0B購01  
081976 425000 旺宏元大09購01  
035418 423000 東鋼元大0B購05  
034601 421000 友達統一0B購09  
031831 420000 裕隆富邦0B購01  
1603 420000 華電            
033917 420000 亞聚元大0C購02  
006205 418722 富邦上証        
035538 418000 儒鴻統一0C購02  
088259 418000 中興電兆豐0A購01
07055P 418000 玉晶光元大0C售03
031903 417000 東鋼永豐0A購04  
035406 417000 帆宣元富13購01  
034336 417000 國泰金群益0B購02
034300 416000 台玻永豐0B購03  
06545P 416000 聯詠富邦0B售02  
2102 415000 泰豐            
06921P 415000 彩晶中信0A售04  
084027 414000 致新統一09購02  
085849 412000 旺宏統一0A購02  
034631 412000 中石化元大0B購03
031868 411000 東鋼凱基12購01  
034995 411000 中鋼元大0B購11  
078069 411000 世紀鋼元大07購05
